"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.24508591166203","7.81443171889218","6.66662183020206","1.15446939174406","4.51406203251221","-0.364695778713454","-2.16445940890385","0.465289865491144","7.51947237328494","1.17669048367502","0.380390971382511","2.35511944298051","-3.65462624193272","-6.88130206359888","-5.65350208612952","","","","","",
"Andorra","AND","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","4.64947352511373","8.1497457091161","7.78846541379031","5.61878578419557","0.542203244600998","3.30379145669792","2.83857430718224","1.46300341337704","0.0415465175962311","2.20872814446003","-0.132468704037194","1.24646173311282","1.77011580714546","1.78468756916817","2.32143585364256","3.25332168107124","5.54712259348615","5.094324231523","4.8270302776809","3.78139347786568","2.54600064090229","0.929215382801402","-1.03149171388272","2.38319527748475","2.7574939772792","4.64974195875254","9.06767396402095","3.19478796475403","4.09908114794879","1.16578706437875","6.06678059681872","6.42684513850161","12.0239197396079","8.06950429074125","7.83970449604648","4.58531059335641","0.078039377902499","-8.59425600818136","-3.81798602402674","-5.34797718118854","-4.80267503725287","-1.76001032768896","-0.0635143126218196","",
"Afghanistan","AFG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.44416322679218","1.05555578746555","11.1752702416587","5.55413762257501","13.7402049898513","3.61136839226168","21.0206487363678","8.43329048161792","6.11368516942299","14.4347412879524","1.93414282770806","1.99853320245002",
"Angola","AGO","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","2.80000000794212","7.90000000367507","5.59999998070747","0.400000018928637","-0.30000001868909","-1.19999999416706","-6.89999999409623","-24.6999999982101","3.5000000064519","10.4000000010499","11.1999999707572","7.9000000221551","6.80476210543193","3.23979967713835","3.01207616575125","4.22096515556314","13.8217925122883","5.24756962371438","10.8794650593878","18.2614736843587","20.7351248827892","22.5930542991417","13.8171458087553","2.41286969254453","3.40765479391563","3.91859698579799","5.15544054479086","6.80005848160971","3.90126512802568",
"Albania","ALB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","5.74563526610046","2.94859680232926","1.10493826600208","-1.2515966439428","1.78064395791651","5.63724319559968","-0.787842648708576","-1.42003967816667","9.83654899260354","-9.57564018741698","-29.5889976817695","-7.1999999865087","9.60000001192864","8.29999999672634","13.2999999863387","9.09999999636193","-10.2","12.7000000042439","10.0999999810463","7.30000002331434","6.99999998459371","2.90000000002482","5.70000000195414","5.90000001342065","5.49991193261015","5.00001021452547","5.90010389630604","7.53629898272825","3.35423931223828","3.70690567185498","2.5453594887922","1.62369860075293","1.41742327835152","1.89999999999999",
"Arab World","ARB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","12.6027608612695","8.30051624610904","1.6731361823054","10.2851375794518","9.58670916940407","4.20013742690016","-3.64163419846135","-2.85888303525277","1.37169977223634","-0.711874156694222","0.414073202975686","0.12001553829289","4.35967094688363","1.90124809706293","9.73699666027319","1.3963846319766","4.89468639791208","3.61450366959258","3.53328364004872","2.73630383270928","4.79299571814302","4.2500828919743","4.71525778209174","2.22219314365249","4.96298493948363","2.35172610979993","1.79647869512758","5.22195586531724","9.11582746503544","6.23399874688428","7.23921570580859","5.72553719321279","6.26504168692517","1.62944938818268","4.46729531903247","3.60499536588752","6.2599185879353","3.15557254949887","2.24717180944151",
"United Arab Emirates","ARE","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","16.5268564875281","21.4393301622723","-1.58960330014777","20.9235730764525","23.8747748930488","4.65917666988996","-6.71931618775933","-4.74582069446201","4.0169512859422","-3.59447652685391","-14.9581365517104","3.38198171435916","-2.61890771950277","12.3378912971253","18.3279855121011","0.860081944630537","3.34494487252299","1.2611909522048","6.89614854507168","6.68788647127094","5.79840405138741","8.19039865220306","0.291994343877917","2.90221364978895","10.8527042037786","1.39908502781832","2.43345681395483","8.80054081702856","9.56643664256454","4.8551411953047","9.8373197726593","3.18439017418304","3.19183627224197","-5.24292190736779","1.6354490566974","4.88527066154538","4.6778917171069","5.19999999999992","3.60546775062478",
"Argentina","ARG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","5.42784287951257","-0.852021523481952","-5.30819682651756","10.1302976614339","10.569433340343","-0.659726171593945","3.19199662337057","4.82250078158644","9.67952600806881","3.04564331900352","5.65813108318032","1.62841651625489","2.81175404095772","5.53380439483237","-0.0284121027669499","-2.01825151667593","6.93414775537995","-4.50612480247693","10.2227634648727","4.15176234244557","-5.68952800019457","-4.95717851904031","3.8751234240092","2.21177350377226","-7.58667718413523","7.87577983041494","2.90999313057097","-2.55690487694628","-7.49618958372453","-2.39895921890114","12.6697100866108","11.9407747350581","5.90691950110394","5.83620069792465","-2.84520961517045","5.52668982269249","8.1110467739709","3.85017886550901","-3.38545705440345","-0.788998929008571","-4.40883969595698","-10.8944848114851","8.83704077566954","9.02957332125898","9.19848898286104","8.40286856609247","7.96557324797847","3.07494550317224","0.0500244563851311","9.45157833146635","8.38645145563733","0.801760179229987","2.88535188297456","0.469257060225758",
"Armenia","ARM","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.6999984817524","-41.8000027485614","-8.79999879239085","5.40000279013701","6.89999840719999","5.86540074820616","3.32107969582276","7.3","3.30000000000001","5.89999999999978","9.55664149553445","13.186300532067","14.0407950559649","10.4678418639969","13.8657112498155","13.1980035154758","13.7492019586216","6.90000000168239","-14.149988640087","2.1999999991457","4.69999999861844","7.20000000328227","3.49999999720714","3.40000000111932",
"American Samoa","ASM","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
